( tool, pen )
( color, black )
( drag,{ x: 283, y: 94.54166 } )
( drag,{ x: 294, y: 98.54166 } )
( drag,{ x: 304, y: 104.54166 } )
( drag,{ x: 315, y: 110.54166 } )
( drag,{ x: 324, y: 117.54166 } )
( drag,{ x: 335, y: 124.54166 } )
( drag,{ x: 342, y: 133.54166 } )
( drag,{ x: 348, y: 141.54166 } )
( drag,{ x: 354, y: 149.54166 } )
( drag,{ x: 359, y: 157.54166 } )
( drag,{ x: 366, y: 168.54166 } )
( drag,{ x: 370, y: 176.54166 } )
( drag,{ x: 374, y: 184.54166 } )
( drag,{ x: 376, y: 192.54166 } )
( drag,{ x: 378, y: 196.54166 } )
( drag,{ x: 379, y: 202.54166 } )
( drag,{ x: 380, y: 208.54166 } )
( drag,{ x: 380, y: 213.54166 } )
( drag,{ x: 380, y: 220.54166 } )
( drag,{ x: 379, y: 225.54166 } )
( drag,{ x: 367, y: 237.54166 } )
( drag,{ x: 352, y: 249.54166 } )
( drag,{ x: 332, y: 266.54166 } )
( drag,{ x: 311, y: 282.54166 } )
( drag,{ x: 290, y: 298.54166 } )
( drag,{ x: 272, y: 309.54166 } )
( drag,{ x: 252, y: 320.54166 } )
( drag,{ x: 234, y: 326.54166 } )
( drag,{ x: 215, y: 329.54166 } )
( drag,{ x: 199, y: 332.54166 } )
( drag,{ x: 183, y: 332.54166 } )
( drag,{ x: 170, y: 332.54166 } )
( drag,{ x: 159, y: 332.54166 } )
( drag,{ x: 148, y: 328.54166 } )
( drag,{ x: 138, y: 320.54166 } )
( drag,{ x: 127, y: 309.54166 } )
( drag,{ x: 118, y: 297.54166 } )
( drag,{ x: 111, y: 281.54166 } )
( drag,{ x: 102, y: 264.54166 } )
( drag,{ x: 96, y: 244.54166 } )
( drag,{ x: 92, y: 224.54166 } )
( drag,{ x: 90, y: 208.54166 } )
( drag,{ x: 88, y: 189.54166 } )
( drag,{ x: 88, y: 177.54166 } )
( drag,{ x: 88, y: 164.54166 } )
( drag,{ x: 88, y: 154.54166 } )
( drag,{ x: 91, y: 144.54166 } )
( drag,{ x: 96, y: 130.54166 } )
( drag,{ x: 104, y: 118.54166 } )
( drag,{ x: 112, y: 109.54166 } )
( drag,{ x: 119, y: 100.54166 } )
( drag,{ x: 126, y: 93.54166 } )
( drag,{ x: 134, y: 88.54166 } )
( drag,{ x: 142, y: 81.54166 } )
( drag,{ x: 152, y: 77.54166 } )
( drag,{ x: 164, y: 73.54166 } )
( drag,{ x: 175, y: 69.54166 } )
( drag,{ x: 186, y: 65.54166 } )
( drag,{ x: 199, y: 62.54166 } )
( drag,{ x: 211, y: 58.54166 } )
( drag,{ x: 223, y: 57.54166 } )
( drag,{ x: 235, y: 54.54166 } )
( drag,{ x: 247, y: 53.54166 } )
( drag,{ x: 259, y: 53.54166 } )
( drag,{ x: 272, y: 53.54166 } )
( drag,{ x: 286, y: 53.54166 } )
( drag,{ x: 299, y: 54.54166 } )
( drag,{ x: 311, y: 58.54166 } )
( drag,{ x: 323, y: 62.54166 } )
( drag,{ x: 335, y: 68.54166 } )
( drag,{ x: 348, y: 74.54166 } )
( drag,{ x: 360, y: 80.54166 } )
( drag,{ x: 371, y: 86.54166 } )
( drag,{ x: 383, y: 92.54166 } )
( drag,{ x: 394, y: 98.54166 } )
( drag,{ x: 403, y: 108.54166 } )
( drag,{ x: 411, y: 113.54166 } )
( drag,{ x: 415, y: 120.54166 } )
( drag,{ x: 419, y: 124.54166 } )
( drag,{ x: 420, y: 125.54166 } )
( up, { x: 420, y: 125.54166 } )
( color, red )
( tool, circle )
( shape, centerX: 196.92680779819682, centerY: 427.2314650230849, radius: 103.37958654031044 )
( tool, triangle )
( color, yellow )
( shape, centerX: 572.8764942794953, centerY: 529.7716358811718, radius: 186.4599282564843 )
( tool, fbicon )
( sticker, { x: 462, y: 256.54167 } )
( sticker, { x: 584, y: 256.54167 } )
( sticker, { x: 726, y: 254.54167 } )
( sticker, { x: 699, y: 352.54167 } )
( sticker, { x: 795, y: 420.54167 } )
( sticker, { x: 390, y: 496.54167 } )
( sticker, { x: 239, y: 586.54167 } )
( tool, pen )
( size, md )
( color, green )
( down,{ x: 514, y: 61.54166 } )
( drag,{ x: 514, y: 64.54166 } )
( drag,{ x: 514, y: 72.54166 } )
( drag,{ x: 514, y: 82.54166 } )
( drag,{ x: 514, y: 92.54166 } )
( drag,{ x: 514, y: 104.54166 } )
( drag,{ x: 514, y: 117.54166 } )
( drag,{ x: 514, y: 129.54166 } )
( drag,{ x: 514, y: 144.54166 } )
( drag,{ x: 514, y: 152.54166 } )
( drag,{ x: 512, y: 165.54166 } )
( drag,{ x: 512, y: 173.54166 } )
( drag,{ x: 512, y: 181.54166 } )
( drag,{ x: 512, y: 184.54166 } )
( drag,{ x: 512, y: 186.54166 } )
( drag,{ x: 512, y: 188.54166 } )
( up, { x: 512, y: 188.54166 } )
( down,{ x: 516, y: 128.54166 } )
( drag,{ x: 519, y: 128.54166 } )
( drag,{ x: 523, y: 128.54166 } )
( drag,{ x: 535, y: 128.54166 } )
( drag,{ x: 542, y: 128.54166 } )
( drag,{ x: 544, y: 128.54166 } )
( drag,{ x: 550, y: 128.54166 } )
( drag,{ x: 551, y: 128.54166 } )
( drag,{ x: 552, y: 128.54166 } )
( drag,{ x: 555, y: 128.54166 } )
( drag,{ x: 558, y: 128.54166 } )
( drag,{ x: 559, y: 128.54166 } )
( drag,{ x: 562, y: 128.54166 } )
( drag,{ x: 563, y: 128.54166 } )
( drag,{ x: 564, y: 128.54166 } )
( drag,{ x: 566, y: 128.54166 } )
( up, { x: 566, y: 128.54166 } )
( down,{ x: 570, y: 69.54166 } )
( drag,{ x: 570, y: 72.54166 } )
( drag,{ x: 570, y: 78.54166 } )
( drag,{ x: 570, y: 86.54166 } )
( drag,{ x: 570, y: 96.54166 } )
( drag,{ x: 570, y: 102.54166 } )
( drag,{ x: 570, y: 110.54166 } )
( drag,{ x: 570, y: 120.54166 } )
( drag,{ x: 570, y: 128.54166 } )
( drag,{ x: 570, y: 137.54166 } )
( drag,{ x: 570, y: 144.54166 } )
( drag,{ x: 570, y: 150.54166 } )
( drag,{ x: 570, y: 154.54166 } )
( drag,{ x: 570, y: 157.54166 } )
( drag,{ x: 570, y: 161.54166 } )
( drag,{ x: 570, y: 165.54166 } )
( drag,{ x: 570, y: 169.54166 } )
( drag,{ x: 570, y: 172.54166 } )
( drag,{ x: 570, y: 176.54166 } )
( drag,{ x: 570, y: 177.54166 } )
( drag,{ x: 570, y: 181.54166 } )
( drag,{ x: 570, y: 184.54166 } )
( drag,{ x: 570, y: 185.54166 } )
( drag,{ x: 570, y: 186.54166 } )
( drag,{ x: 570, y: 188.54166 } )
( drag,{ x: 568, y: 186.54166 } )
( up, { x: 568, y: 186.54166 } )
( down,{ x: 630, y: 118.54166 } )
( drag,{ x: 630, y: 121.54166 } )
( drag,{ x: 630, y: 124.54166 } )
( drag,{ x: 630, y: 128.54166 } )
( drag,{ x: 630, y: 130.54166 } )
( drag,{ x: 630, y: 134.54166 } )
( drag,{ x: 630, y: 138.54166 } )
( drag,{ x: 630, y: 142.54166 } )
( drag,{ x: 630, y: 148.54166 } )
( drag,{ x: 630, y: 153.54166 } )
( drag,{ x: 630, y: 158.54166 } )
( drag,{ x: 630, y: 162.54166 } )
( drag,{ x: 630, y: 165.54166 } )
( drag,{ x: 630, y: 166.54166 } )
( drag,{ x: 630, y: 168.54166 } )
( drag,{ x: 630, y: 169.54166 } )
( up, { x: 630, y: 169.54166 } )
( down,{ x: 634, y: 80.54166 } )
( drag,{ x: 634, y: 81.54166 } )
( drag,{ x: 634, y: 84.54166 } )
( drag,{ x: 636, y: 86.54166 } )
( drag,{ x: 638, y: 90.54166 } )
( drag,{ x: 639, y: 93.54166 } )
( drag,{ x: 640, y: 96.54166 } )
( drag,{ x: 640, y: 97.54166 } )
( drag,{ x: 640, y: 100.54166 } )
( drag,{ x: 640, y: 101.54166 } )
( drag,{ x: 640, y: 102.54166 } )
( drag,{ x: 640, y: 104.54166 } )
( drag,{ x: 640, y: 105.54166 } )
( drag,{ x: 639, y: 106.54166 } )
( drag,{ x: 638, y: 106.54166 } )
( drag,{ x: 636, y: 108.54166 } )
( drag,{ x: 634, y: 109.54166 } )
( drag,{ x: 630, y: 109.54166 } )
( drag,{ x: 626, y: 109.54166 } )
( drag,{ x: 624, y: 109.54166 } )
( drag,{ x: 622, y: 109.54166 } )
( drag,{ x: 620, y: 105.54166 } )
( drag,{ x: 619, y: 101.54166 } )
( drag,{ x: 618, y: 98.54166 } )
( drag,{ x: 616, y: 96.54166 } )
( drag,{ x: 616, y: 94.54166 } )
( drag,{ x: 616, y: 93.54166 } )
( drag,{ x: 616, y: 92.54166 } )
( drag,{ x: 616, y: 90.54166 } )
( drag,{ x: 616, y: 89.54166 } )
( drag,{ x: 618, y: 89.54166 } )
( drag,{ x: 619, y: 89.54166 } )
( drag,{ x: 620, y: 88.54166 } )
( drag,{ x: 622, y: 88.54166 } )
( drag,{ x: 624, y: 88.54166 } )
( drag,{ x: 627, y: 88.54166 } )
( drag,{ x: 628, y: 88.54166 } )
( drag,{ x: 630, y: 88.54166 } )
( drag,{ x: 631, y: 88.54166 } )
( drag,{ x: 632, y: 88.54166 } )
( drag,{ x: 634, y: 88.54166 } )
( drag,{ x: 635, y: 88.54166 } )
( drag,{ x: 636, y: 88.54166 } )
( up, { x: 636, y: 88.54166 } )
( color, orange )
( size, lg )
( down,{ x: 591, y: 517.54168 } )
( drag,{ x: 591, y: 516.54168 } )
( drag,{ x: 591, y: 514.54168 } )
( drag,{ x: 591, y: 512.54168 } )
( drag,{ x: 591, y: 508.54168 } )
( drag,{ x: 591, y: 500.54168 } )
( drag,{ x: 592, y: 493.54168 } )
( drag,{ x: 595, y: 484.54168 } )
( drag,{ x: 599, y: 476.54168 } )
( drag,{ x: 603, y: 469.54168 } )
( drag,{ x: 607, y: 464.54168 } )
( drag,{ x: 610, y: 461.54168 } )
( drag,{ x: 614, y: 458.54168 } )
( drag,{ x: 619, y: 456.54168 } )
( drag,{ x: 622, y: 454.54168 } )
( drag,{ x: 626, y: 453.54168 } )
( drag,{ x: 630, y: 452.54168 } )
( drag,{ x: 632, y: 452.54168 } )
( drag,{ x: 636, y: 452.54168 } )
( drag,{ x: 638, y: 452.54168 } )
( drag,{ x: 639, y: 452.54168 } )
( drag,{ x: 642, y: 453.54168 } )
( drag,{ x: 643, y: 456.54168 } )
( drag,{ x: 644, y: 457.54168 } )
( drag,{ x: 646, y: 462.54168 } )
( drag,{ x: 648, y: 465.54168 } )
( drag,{ x: 650, y: 469.54168 } )
( drag,{ x: 651, y: 476.54168 } )
( drag,{ x: 652, y: 481.54168 } )
( drag,{ x: 652, y: 485.54168 } )
( drag,{ x: 652, y: 490.54168 } )
( drag,{ x: 652, y: 494.54168 } )
( drag,{ x: 652, y: 498.54168 } )
( drag,{ x: 652, y: 504.54168 } )
( drag,{ x: 650, y: 508.54168 } )
( drag,{ x: 648, y: 514.54168 } )
( drag,{ x: 644, y: 518.54168 } )
( drag,{ x: 643, y: 524.54168 } )
( drag,{ x: 640, y: 532.54168 } )
( drag,{ x: 638, y: 536.54168 } )
( drag,{ x: 635, y: 541.54168 } )
( drag,{ x: 632, y: 545.54168 } )
( drag,{ x: 630, y: 550.54168 } )
( drag,{ x: 628, y: 553.54168 } )
( drag,{ x: 626, y: 557.54168 } )
( drag,{ x: 623, y: 562.54168 } )
( drag,{ x: 620, y: 565.54168 } )
( drag,{ x: 618, y: 568.54168 } )
( drag,{ x: 615, y: 569.54168 } )
( drag,{ x: 612, y: 570.54168 } )
( drag,{ x: 610, y: 573.54168 } )
( drag,{ x: 608, y: 574.54168 } )
( drag,{ x: 606, y: 574.54168 } )
( drag,{ x: 603, y: 576.54168 } )
( drag,{ x: 600, y: 576.54168 } )
( drag,{ x: 598, y: 576.54168 } )
( drag,{ x: 594, y: 576.54168 } )
( drag,{ x: 588, y: 576.54168 } )
( drag,{ x: 583, y: 576.54168 } )
( drag,{ x: 579, y: 574.54168 } )
( drag,{ x: 574, y: 572.54168 } )
( drag,{ x: 567, y: 568.54168 } )
( drag,{ x: 562, y: 564.54168 } )
( drag,{ x: 555, y: 557.54168 } )
( drag,{ x: 551, y: 552.54168 } )
( drag,{ x: 544, y: 545.54168 } )
( drag,{ x: 542, y: 541.54168 } )
( drag,{ x: 536, y: 534.54168 } )
( drag,{ x: 532, y: 529.54168 } )
( drag,{ x: 530, y: 524.54168 } )
( drag,{ x: 527, y: 520.54168 } )
( drag,{ x: 524, y: 513.54168 } )
( drag,{ x: 523, y: 510.54168 } )
( drag,{ x: 520, y: 505.54168 } )
( drag,{ x: 519, y: 498.54168 } )
( drag,{ x: 518, y: 494.54168 } )
( drag,{ x: 518, y: 490.54168 } )
( drag,{ x: 518, y: 488.54168 } )
( drag,{ x: 518, y: 486.54168 } )
( drag,{ x: 518, y: 485.54168 } )
( drag,{ x: 518, y: 484.54168 } )
( drag,{ x: 518, y: 482.54168 } )
( drag,{ x: 518, y: 481.54168 } )
( drag,{ x: 520, y: 480.54168 } )
( drag,{ x: 522, y: 478.54168 } )
( drag,{ x: 524, y: 477.54168 } )
( drag,{ x: 528, y: 477.54168 } )
( drag,{ x: 531, y: 476.54168 } )
( drag,{ x: 534, y: 474.54168 } )
