( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 687, y: 356.54166 } )
( drag,{ x: 687, y: 368.54166 } )
( drag,{ x: 686, y: 368.54166 } )
( up, { x: 686, y: 368.54166 } )
( down,{ x: 726, y: 90.54166 } )
( drag,{ x: 726, y: 93.54166 } )
( drag,{ x: 726, y: 101.54166 } )
( drag,{ x: 726, y: 221.54166 } )
( drag,{ x: 726, y: 320.54166 } )
( drag,{ x: 726, y: 408.54166 } )
( drag,{ x: 726, y: 433.54166 } )
( drag,{ x: 728, y: 437.54166 } )
( drag,{ x: 728, y: 438.54166 } )
( up, { x: 728, y: 438.54166 } )
( down,{ x: 790, y: 85.54166 } )
( drag,{ x: 790, y: 88.54166 } )
( drag,{ x: 790, y: 100.54166 } )
( drag,{ x: 790, y: 186.54166 } )
( drag,{ x: 790, y: 264.54166 } )
( drag,{ x: 790, y: 365.54166 } )
( drag,{ x: 791, y: 400.54166 } )
( drag,{ x: 794, y: 418.54166 } )
( drag,{ x: 795, y: 418.54166 } )
( drag,{ x: 794, y: 416.54166 } )
( drag,{ x: 778, y: 400.54166 } )
( up, { x: 778, y: 400.54166 } )
( down,{ x: 826, y: 450.54166 } )
( drag,{ x: 820, y: 450.54166 } )
( drag,{ x: 698, y: 450.54166 } )
( drag,{ x: 532, y: 456.54166 } )
( drag,{ x: 322, y: 506.54166 } )
( drag,{ x: 275, y: 508.54166 } )
( drag,{ x: 268, y: 508.54166 } )
( drag,{ x: 270, y: 508.54166 } )
( drag,{ x: 271, y: 508.54166 } )
( up, { x: 271, y: 508.54166 } )
( down,{ x: 756, y: 505.54166 } )
( drag,{ x: 744, y: 505.54166 } )
( drag,{ x: 715, y: 505.54166 } )
( drag,{ x: 510, y: 505.54166 } )
( drag,{ x: 438, y: 505.54166 } )
( drag,{ x: 428, y: 505.54166 } )
( up, { x: 428, y: 505.54166 } )
( down,{ x: 715, y: 562.54166 } )
( drag,{ x: 700, y: 562.54166 } )
( drag,{ x: 598, y: 562.54166 } )
( drag,{ x: 499, y: 562.54166 } )
( drag,{ x: 443, y: 562.54166 } )
( drag,{ x: 424, y: 562.54166 } )
( drag,{ x: 423, y: 562.54166 } )
( up, { x: 423, y: 562.54166 } )
( tool, eraser )
( size, lg )
( down,{ x: 15, y: 12.54166 } )
( drag,{ x: 15, y: 14.54166 } )
( drag,{ x: 15, y: 24.54166 } )
( drag,{ x: 15, y: 149.54166 } )
( drag,{ x: 15, y: 214.54166 } )
( drag,{ x: 15, y: 234.54166 } )
( drag,{ x: 15, y: 232.54166 } )
( drag,{ x: 22, y: 152.54166 } )
( drag,{ x: 36, y: 53.54166 } )
( drag,{ x: 44, y: 2.54166 } )
( drag,{ x: 46, y: -19.45834 } )
( drag,{ x: 46, y: -21.45834 } )
( drag,{ x: 46, y: 2.54166 } )
